codigo,nombres,apellidos,carrera,ciclo,correo
20223705,Milagros,Ccahuana Villanueva,Ingeniería de Software,7,milagros.ccahuana@unmsm.edu.pe
20206107,Diana,Meza Cárdenas,Ingeniería de Sistemas,9,diana.meza@unmsm.edu.pe
20222982,Silvia,Ramírez Huamán,Ingeniería de Software,7,silvia.ramirez@unmsm.edu.pe
20204608,María Fernanda,Huamán Alvarado,Ingeniería de Software,10,maria.huaman@unmsm.edu.pe
20191514,Javier,Espinoza Huamán,Ingeniería de Sistemas,10,javier.espinoza@unmsm.edu.pe
20224510,Jorge Luis,Rojas Bustamante,Ingeniería de Software,7,jorge.rojas@unmsm.edu.pe
20227669,Claudia,Flores Flores,Ingeniería de Sistemas,7,claudia.flores@unmsm.edu.pe
20227735,Fiorella,Bustamante Mamani,Ingeniería de Software,8,fiorella.bustamante@unmsm.edu.pe
20226559,Rodrigo,Flores Ramírez,Ingeniería de Software,8,rodrigo.flores@unmsm.edu.pe
20223296,Lucero,Vargas Sánchez,Ingeniería de Software,7,lucero.vargas@unmsm.edu.pe
20198260,Rodrigo,Ticona Flores,Ciencia de la Computación,10,rodrigo.ticona@unmsm.edu.pe
20192528,Kevin,Del Águila Ramírez,Ingeniería de Sistemas,10,kevin.del@unmsm.edu.pe
20228886,Claudia,Ríos Mamani,Ingeniería de Sistemas,8,claudia.rios@unmsm.edu.pe
20197396,Milagros,Guzmán Torres,Ciencia de la Computación,9,milagros.guzman@unmsm.edu.pe
20223536,Claudia,Torres Castillo,Ciencia de la Computación,8,claudia.torres@unmsm.edu.pe
20196138,Ana Lucía,Mamani Aguilar,Ciencia de la Computación,9,ana.mamani@unmsm.edu.pe
20201931,Luis Alberto,Huamán Vargas,Ciencia de la Computación,10,luis.huaman@unmsm.edu.pe
20194853,Diana,Flores Aguilar,Ciencia de la Computación,10,diana.flores@unmsm.edu.pe
20192343,Lucero,Meza Aguilar,Ingeniería de Sistemas,9,lucero.meza@unmsm.edu.pe
20206147,Silvia,Sánchez Ríos,Ciencia de la Computación,10,silvia.sanchez@unmsm.edu.pe
20218491,Katherine,Del Águila Huamán,Ingeniería de Sistemas,10,katherine.del@unmsm.edu.pe
20192200,Jorge Luis,Castillo Ccahuana,Ingeniería de Software,9,jorge.castillo@unmsm.edu.pe
20212127,Marco Antonio,Ramírez Chávez,Ingeniería de Software,9,marco.ramirez@unmsm.edu.pe
20229900,Alexander,Torres Villanueva,Ciencia de la Computación,8,alexander.torres@unmsm.edu.pe
20212697,Marco Antonio,Rojas Sánchez,Ingeniería de Software,10,marco.rojas@unmsm.edu.pe
20205462,Jimena,Villanueva Castillo,Ingeniería de Software,9,jimena.villanueva@unmsm.edu.pe
20219280,José Carlos,Sánchez Mamani,Ciencia de la Computación,10,jose.sanchez@unmsm.edu.pe
20225533,Ana Lucía,Quispe Espinoza,Ciencia de la Computación,8,ana.quispe@unmsm.edu.pe
20213647,Sebastián,Guzmán Ticona,Ciencia de la Computación,9,sebastian.guzman@unmsm.edu.pe
20192832,Rosa Elena,Alvarado Rojas,Ingeniería de Sistemas,10,rosa.alvarado@unmsm.edu.pe
20208041,Patricia,Mamani Torres,Ingeniería de Software,9,patricia.mamani@unmsm.edu.pe
20214441,Christian,Ramírez Meza,Ingeniería de Sistemas,10,christian.ramirez@unmsm.edu.pe
20223532,Kevin,Ramírez Vargas,Ingeniería de Sistemas,8,kevin.ramirez@unmsm.edu.pe
20193938,Sebastián,Espinoza Paredes,Ingeniería de Sistemas,10,sebastian.espinoza@unmsm.edu.pe
